profile,rank,job_id,title,score,coverage,Skills,Salary,Location,Size,matched,missing
SQL profile,1,DA-01953,DATA Analyst-Remote,90.0,1.0,100.0,100,0,100.0,SQL,
SQL profile,2,DA-01932,Data Analyst,87.5,0.8,100.0,100,0,,SQL,
SQL profile,3,DA-01969,Web Data Analyst,87.5,0.8,100.0,100,0,,SQL,
SQL profile,4,DA-00261,SQL Data Analyst,75.0,1.0,100.0,50,0,100.0,SQL,
SQL profile,5,DA-00363,Senior Healthcare Data Analyst,75.0,1.0,100.0,50,0,100.0,SQL,
Python profile,1,DA-00377,Technical Business Analyst with Retail Banking and Large Data Program,100.0,1.0,100.0,100,100,100.0,SQL; Excel,
Python profile,2,DA-00276,Data Analyst - Intex Developer,100.0,0.8,100.0,100,100,,Python; Excel,
Python profile,3,DA-00269,Data Entry Clerk / Data analyst,90.0,1.0,100.0,100,0,100.0,Excel,
Python profile,4,DA-00376,Data Analyst,90.0,1.0,100.0,100,0,100.0,Excel,
Python profile,5,DA-00860,Sr. Sales Operations & Data Analyst,90.0,1.0,100.0,100,0,100.0,Excel,
BI profile,1,DA-01953,DATA Analyst-Remote,90.0,1.0,100.0,100,0,100.0,SQL,
BI profile,2,DA-01932,Data Analyst,87.5,0.8,100.0,100,0,,SQL,
BI profile,3,DA-01969,Web Data Analyst,87.5,0.8,100.0,100,0,,SQL,
BI profile,4,DA-00261,SQL Data Analyst,75.0,1.0,100.0,50,0,100.0,SQL,
BI profile,5,DA-00363,Senior Healthcare Data Analyst,75.0,1.0,100.0,50,0,100.0,SQL,
